iterations,fitness,time,fevals
0,0.0197575160507,3.429442195,1000
10,0.019457415378,6.853208839,2100
20,0.0201808818959,10.390129731,3200
30,0.0203089240945,13.909568481,4300
40,0.0200828615035,17.493451832,5400
50,0.0204757947208,20.93141444,6500
60,0.0207618542056,24.360267723,7600
70,0.01959121094,27.947314096,8700
80,0.0196638101731,31.531394892,9800
90,0.0207448662236,35.241437924,10900
100,0.0196842267818,39.007323529,12000
110,0.021935840597,42.579561567,13100
120,0.0204557619768,46.245988922,14200
130,0.0196513186996,49.962358485,15300
140,0.0194656005518,53.707108246,16400
150,0.0210399330584,57.843961694,17500
160,0.0203402029791,61.900910737,18600
170,0.0207581507736,65.389361458,19700
180,0.0198461077548,68.96888246,20800
190,0.0212138087727,72.499392761,21900
200,0.0203040778913,76.05862781,23000
210,0.0207023322838,79.506908846,24100
