iterations,fitness,time,fevals
0,21.0,0.015071268,813
10,21.0,0.019301662,1501
20,23.0,0.02332386,2201
30,26.0,0.027908579,2896
40,27.0,0.030766637,3600
50,23.0,0.03324349,4298
60,24.0,0.035194965,4992
70,24.0,0.037250049,5694
80,26.0,0.039298291,6395
90,26.0,0.04151612,7083
100,23.0,0.043650867,7770
110,25.0,0.045942982,8478
120,26.0,0.047403778,9171
130,24.0,0.048945702,9886
140,25.0,0.050379618,10580
150,25.0,0.051885376,11278
160,26.0,0.054074859,11991
170,26.0,0.055850393,12687
180,26.0,0.057855138,13379
190,27.0,0.059934659,14086
200,29.0,0.061808426,14769
210,29.0,0.063747682,15458
220,29.0,0.065942052,16161
230,28.0,0.068012286,16858
240,28.0,0.069993573,17545
250,30.0,0.0719861,18250
260,30.0,0.073444941,18949
270,32.0,0.075982395,19641
280,32.0,0.078963611,20343
290,32.0,0.08180603,21041
300,33.0,0.083920738,21740
310,31.0,0.086285184,22432
320,32.0,0.089569897,23126
330,32.0,0.091733967,23824
340,32.0,0.117038625,24535
350,32.0,0.118740361,25230
360,33.0,0.120426458,25938
370,34.0,0.122313421,26634
380,33.0,0.124157377,27340
390,35.0,0.126055092,28032
400,34.0,0.12737318,28741
410,36.0,0.129303639,29440
420,36.0,0.131204775,30133
430,37.0,0.13345486,30824
440,38.0,0.135619418,31528
450,38.0,0.137340703,32221
460,37.0,0.139559021,32916
470,37.0,0.141910761,33615
480,37.0,0.144782991,34312
490,37.0,0.146902586,35011
500,37.0,0.152834717,35728
510,37.0,0.156116498,36418
520,38.0,0.157941394,37122
530,37.0,0.161247123,37813
540,38.0,0.163015326,38506
550,38.0,0.164426761,39200
560,38.0,0.166255566,39893
570,39.0,0.168187981,40597
580,40.0,0.170043177,41296
590,39.0,0.171419423,41998
600,39.0,0.172963302,42709
610,39.0,0.174369361,43411
620,41.0,0.175716773,44098
630,40.0,0.177009448,44794
640,40.0,0.178436033,45493
650,41.0,0.179943747,46196
660,41.0,0.182168907,46899
670,41.0,0.183606244,47593
680,42.0,0.185440425,48313
690,42.0,0.18779412,49013
700,43.0,0.189630256,49698
710,43.0,0.191370602,50385
720,41.0,0.192601697,51089
730,44.0,0.194574186,51793
740,42.0,0.196424495,52491
750,44.0,0.198505481,53195
760,49.0,0.200292256,53882
770,49.0,0.201520908,54591
780,49.0,0.203196742,55282
790,52.0,0.205063179,55975
800,50.0,0.206528374,56669
810,49.0,0.208174396,57367
820,50.0,0.210083351,58053
830,51.0,0.211318845,58747
840,51.0,0.213315771,59431
850,51.0,0.214899237,60132
860,50.0,0.216256424,60813
870,48.0,0.217869213,61503
880,47.0,0.219745913,62202
890,49.0,0.221546372,62901
900,48.0,0.222949987,63598
910,47.0,0.224814958,64294
920,49.0,0.22674835,64995
930,49.0,0.228142679,65687
940,49.0,0.229656257,66380
950,49.0,0.231478709,67081
960,50.0,0.232708827,67776
970,50.0,0.234173533,68479
980,50.0,0.235666584,69163
990,51.0,0.236909897,69877
1000,51.0,0.238047646,70572
