iterations,fitness,time,fevals
0,23.0,0.174088836,1000
10,26.0,0.360826823,2100
20,27.0,0.505804329,3200
30,28.0,0.644719704,4300
40,29.0,0.780503825,5400
50,30.0,0.884381605,6500
60,30.0,0.985807457,7600
70,29.0,1.106756364,8700
80,29.0,1.212778664,9800
90,30.0,1.316756143,10900
100,29.0,1.410888768,12000
110,31.0,1.504535601,13100
120,30.0,1.602507641,14200
130,29.0,1.702384727,15300
140,30.0,1.803830128,16400
150,29.0,1.897553203,17500
160,29.0,1.992331433,18600
170,28.0,2.088687264,19700
180,29.0,2.183770946,20800
190,29.0,2.28070738,21900
200,30.0,2.374279928,23000
210,30.0,2.48359525,24100
220,30.0,2.583393652,25200
230,28.0,2.67731417,26300
240,29.0,2.779868485,27400
250,29.0,2.879300343,28500
260,29.0,2.972123188,29600
270,30.0,3.073122873,30700
280,29.0,3.172291798,31800
290,30.0,3.273310543,32900
300,29.0,3.37914273,34000
310,30.0,3.479583315,35100
320,29.0,3.574944103,36200
330,29.0,3.675913487,37300
340,29.0,3.773974964,38400
350,30.0,3.87462179,39500
360,29.0,3.970353031,40600
370,30.0,4.066593034,41700
380,29.0,4.162134161,42800
390,29.0,4.253954145,43900
400,30.0,4.351591898,45000
410,28.0,4.445652681,46100
420,30.0,4.540133766,47200
430,31.0,4.636067339,48300
440,30.0,4.738228232,49400
450,32.0,4.848523935,50500
460,30.0,4.948150305,51600
470,30.0,5.049689052,52700
480,30.0,5.143030921,53800
490,30.0,5.234638309,54900
500,31.0,5.332053692,56000
510,30.0,5.426546996,57100
520,30.0,5.520776388,58200
530,30.0,5.621527801,59300
540,32.0,5.719608826,60400
550,31.0,5.822523332,61500
560,30.0,5.918503333,62600
570,31.0,6.018355005,63700
580,30.0,6.111685145,64800
590,30.0,6.20680206,65900
600,30.0,6.302567023,67000
610,30.0,6.395577049,68100
620,32.0,6.493896083,69200
630,30.0,6.597099912,70300
640,31.0,6.689579184,71400
650,30.0,6.787627465,72500
660,31.0,6.884329801,73600
670,30.0,6.978527915,74700
680,30.0,7.079569141,75800
690,31.0,7.173498457,76900
700,30.0,7.27924023,78000
710,30.0,7.379900741,79100
720,31.0,7.474638406,80200
730,30.0,7.568658135,81300
740,30.0,7.670074701,82400
750,31.0,7.771793788,83500
760,30.0,7.889938885,84600
770,30.0,8.01059749,85700
780,30.0,8.126921602,86800
790,30.0,8.224383903,87900
800,31.0,8.334186483,89000
810,30.0,8.430826262,90100
820,31.0,8.544672055,91200
830,32.0,8.651318944,92300
840,30.0,8.755966465,93400
850,35.0,8.857358107,94500
860,29.0,8.96415308,95600
870,31.0,9.068017664,96700
880,30.0,9.174597599,97800
890,31.0,9.280754787,98900
900,30.0,9.383679066,100000
910,30.0,9.496915909,101100
920,31.0,9.598405295,102200
930,30.0,9.704288309,103300
940,31.0,9.799473157,104400
950,30.0,9.896890007,105500
960,31.0,9.992239555,106600
970,33.0,10.088476136,107700
980,32.0,10.183828615,108800
990,30.0,10.281109111,109900
1000,31.0,10.378993181,111000
