iterations,fitness,time,fevals
0,17.0,4.83840000003e-05,11
10,17.0,0.000167144000001,21
20,17.0,0.000238009000001,31
30,17.0,0.000403687000001,41
40,17.0,0.000469665000002,51
50,17.0,0.000534665000002,61
60,17.0,0.000663200000002,71
70,17.0,0.000726734000001,81
80,17.0,0.000806885000001,91
90,18.0,0.000889479000001,101
100,20.0,0.000959855000001,111
110,20.0,0.001079592,121
120,20.0,0.001173427,131
130,20.0,0.001252601,141
140,20.0,0.001326398,151
150,20.0,0.001389443,161
160,20.0,0.00148279,171
170,20.0,0.001553655,181
180,20.0,0.001620611,191
190,20.0,0.001687077,201
200,20.0,0.001803393,211
210,21.0,0.001882566,221
220,21.0,0.001946589,231
230,21.0,0.002049221,241
240,21.0,0.002153808,251
250,22.0,0.002218808,261
260,22.0,0.002323884,271
270,22.0,0.002387906,281
280,22.0,0.002460237,291
290,22.0,0.002541854,301
300,22.0,0.002606366,311
310,22.0,0.002688961,321
320,22.0,0.002754939,331
330,23.0,0.002820917,341
340,23.0,0.002879564,351
350,23.0,0.002944075,361
360,23.0,0.00306479,371
370,23.0,0.003212873,381
380,27.0,0.003274452,391
390,27.0,0.00357795,401
400,27.0,0.003647837,411
410,27.0,0.003726521,421
420,27.0,0.00379201,431
430,28.0,0.003846258,441
440,28.0,0.003970883,451
450,31.0,0.004036372,461
460,31.0,0.004135583,471
470,31.0,0.004227952,481
480,31.0,0.004295884,491
490,31.0,0.004364795,501
500,31.0,0.004482577,511
510,31.0,0.004535848,521
520,31.0,0.004609157,531
530,31.0,0.004695661,541
540,31.0,0.004759684,551
550,31.0,0.004919986,561
560,31.0,0.005038258,571
570,31.0,0.005102769,581
580,31.0,0.005165815,591
590,31.0,0.005226905,601
600,31.0,0.005289461,611
610,31.0,0.005361304,621
620,31.0,0.005417018,631
630,31.0,0.005505477,641
640,31.0,0.005582207,651
650,31.0,0.005643787,661
660,31.0,0.005701456,671
670,31.0,0.005819239,681
680,31.0,0.005871044,691
690,32.0,0.005939954,701
700,32.0,0.006002022,711
710,32.0,0.006066045,721
720,32.0,0.006178452,731
730,35.0,0.006273753,741
740,35.0,0.006385182,751
750,35.0,0.00645507,761
760,35.0,0.006518115,771
770,35.0,0.006583604,781
780,35.0,0.006647139,791
790,36.0,0.006712628,801
800,38.0,0.006778605,811
810,38.0,0.00684165,821
820,39.0,0.007214547,831
830,39.0,0.007281502,841
840,39.0,0.007346502,851
850,39.0,0.007414434,861
860,39.0,0.007480412,871
870,40.0,0.00754443500001,881
880,40.0,0.00760405900001,891
890,41.0,0.00768421000001,901
900,41.0,0.00774969900001,911
910,41.0,0.00781518800001,921
920,41.0,0.00839774700001,931
930,41.0,0.00847692,941
940,43.0,0.00855658200001,951
950,44.0,0.008620116,961
960,45.0,0.008753538,971
970,45.0,0.008805831,981
980,45.0,0.008859102,991
990,45.0,0.008911395,1001
1000,45.0,0.008975906,1011
