iterations,fitness,time,fevals
0,0.0360123222616,0.00742322800005,730
10,0.0439326401736,0.0141133700001,1357
20,0.0554871388806,0.0212228370001,1996
30,0.0619320644509,0.0275420370001,2631
40,0.0620421261731,0.0340024780001,3249
50,0.0678640488635,0.0408788230001,3890
60,0.07241422427,0.0475797170001,4511
70,0.0728871904187,0.0534453810001,5132
80,0.0771481484332,0.0593511210001,5757
90,0.0787288665785,0.0648521980001,6394
100,0.0765916905972,0.0706934260001,7025
110,0.0771419726259,0.0766939780001,7659
120,0.091566762759,0.0827258080001,8294
130,0.0855716361459,0.0884824870001,8915
140,0.0842113963728,0.093861383,9542
150,0.0813035283753,0.101977621,10171
160,0.0827267596299,0.107899489,10795
170,0.0874294576734,0.115120385,11421
180,0.0946990578311,0.120941575,12054
190,0.0899749335673,0.126813592,12671
200,0.0926505778781,0.13244418,13310
210,0.091677760561,0.137520555,13932
220,0.0923842828554,0.142758698,14550
230,0.0884826202227,0.148447933,15175
240,0.0888656324701,0.153793107,15799
250,0.0923105774062,0.160623024,16448
260,0.0950935707327,0.165767332,17082
270,0.0948446418219,0.170493292,17703
280,0.09513063445,0.176513393,18336
290,0.0956467989055,0.182859962,18966
300,0.0961088184849,0.187639193,19601
310,0.0958647843936,0.193568392,20216
320,0.09725836816,0.199937442,20848
330,0.090455138145,0.205554835,21483
340,0.0906576505958,0.211138994,22118
350,0.0900315794327,0.217052553,22741
360,0.0984091180431,0.223095135,23377
370,0.0986600878772,0.229746179,24005
380,0.0929914478882,0.237104406,24634
390,0.0928379049373,0.242534617,25273
400,0.088266796007,0.249928521,25904
410,0.0938921178767,0.257198778,26536
420,0.0911362890232,0.264427982,27160
430,0.0977230597666,0.272214821,27794
440,0.096190494548,0.280710798,28425
450,0.0974112632952,0.286445485,29041
460,0.101273416043,0.29269382,29666
470,0.0991875263483,0.300489455,30292
480,0.0945827240904,0.305302897,30915
490,0.0973261588741,0.310774161,31546
500,0.0964982874978,0.316119335,32188
510,0.0924609458364,0.321100409,32823
520,0.0897267567391,0.327142991,33448
530,0.0908804467464,0.333855125,34082
540,0.0882829920941,0.340459251,34718
550,0.087524781525,0.346431457,35346
560,0.0868409474308,0.352789266,35968
570,0.0797643252047,0.358209703,36599
580,0.0868493295603,0.364047022,37222
590,0.0833464235904,0.370067124,37846
600,0.0855933966346,0.375534478,38473
610,0.0911564486187,0.380936832,39103
620,0.0915053563747,0.38631866,39735
630,0.0978373596746,0.391464434,40366
640,0.0952763037996,0.396783217,40993
650,0.0959928416154,0.404220618,41615
660,0.0982521500634,0.410748014,42245
670,0.0907673849609,0.415956344,42873
680,0.0883051092977,0.421189111,43511
690,0.10068505771,0.428302487,44133
700,0.0949215653778,0.433296757,44762
710,0.087812191091,0.439814868,45381
720,0.0935222605193,0.445261696,46009
730,0.09385082358,0.450704614,46649
740,0.0939736160059,0.456292683,47274
750,0.0902688363166,0.461475112,47908
760,0.0931211282845,0.46836563,48542
770,0.0992790803371,0.475858745,49175
780,0.0960879112054,0.482376367,49820
790,0.0983967150016,0.489484856,50462
800,0.0908722256718,0.494343261,51082
810,0.0914330709566,0.500161519,51705
820,0.0903840932245,0.506347786,52347
830,0.0911123488841,0.512990521,52990
840,0.0913034187518,0.518915809,53626
850,0.0864695441709,0.52428493,54258
860,0.087168715403,0.529744465,54877
870,0.0868033609266,0.53543761,55496
880,0.0894207538074,0.541176695,56126
890,0.085890698241,0.546477394,56769
900,0.0874881812499,0.551747792,57399
910,0.0887304703266,0.558728725,58039
920,0.0845281875109,0.565353866,58672
930,0.0872876408911,0.571483441,59299
940,0.0897519392316,0.578615878,59938
950,0.092666075326,0.584522106,60563
960,0.0904181855054,0.591044127,61186
970,0.0926556426655,0.596993363,61826
980,0.0918753482989,0.602139625,62448
990,0.0962962758814,0.608317095,63075
1000,0.0957727591435,0.616576041,63710
