EMPLOYER,title,salary,location,submit_date,start_date,status
IBM CORPORATION,DATA SCIENTIST,107390,"FOSTER CITY, CA",12/22/2015,6/22/2016,CERTIFIED
KAYAK SOFTWARE CORPORATION,DATA SCIENTIST,120000,"CAMBRIDGE, MA",12/22/2015,1/4/2016,CERTIFIED
IBM CORPORATION,DATA SCIENTIST,85938,"FOSTER CITY, CA",12/21/2015,6/21/2016,CERTIFIED
UBER TECHNOLOGIES INC,DATA SCIENTIST,115000,"SAN FRANCISCO, CA",12/21/2015,12/24/2015,CERTIFIED
TWITTER INC,DATA SCIENTIST,115000,"SAN FRANCISCO, CA",12/18/2015,6/14/2016,CERTIFIED
TWITTER INC,DATA SCIENTIST,117000,"SAN FRANCISCO, CA",12/18/2015,6/15/2016,CERTIFIED
QUID INC,DATA SCIENTIST,110000,"SAN FRANCISCO, CA",12/17/2015,6/15/2016,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,135000,"MENLO PARK, CA",12/17/2015,12/17/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,109100,"REDMOND, WA",12/16/2015,6/3/2016,CERTIFIED
GENERAL MOTORS COMPANY,DATA SCIENTIST,75000,"DETROIT, MI",12/15/2015,1/4/2016,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,123000,"CAMBRIDGE, MA",12/15/2015,6/4/2016,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,134600,"CAMBRIDGE, MA",12/15/2015,6/3/2016,CERTIFIED
SOLOMON CONSULTING GROUP LLC,DATA SCIENTIST,114000,"LENEXA, KS",12/10/2015,12/15/2015,CERTIFIED
INTEL CORPORATION,DATA SCIENTIST,102086,"HILLSBORO, OR",12/10/2015,6/9/2016,CERTIFIED
CIRCLEUP NETWORK INC,DATA SCIENTIST,97573,"SAN FRANCISCO, CA",12/9/2015,1/23/2016,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,90000,"MENLO PARK, CA",12/7/2015,6/4/2016,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,91000,"MENLO PARK, CA",12/7/2015,6/4/2016,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,120000,"MENLO PARK, CA",12/7/2015,6/4/2016,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,124000,"MENLO PARK, CA",12/7/2015,6/4/2016,CERTIFIED
POLLEN INC,DATA SCIENTIST,100000,"FAIRWAY, KS",12/5/2015,12/11/2015,CERTIFIED
